报告ID,死亡人数,受伤人数,经济损失_万元,原因分析文本,Severity_Level
2014年揭阳市“3·26”重大火灾事故调查报告,12,5,390.93,直接原因：郑某某用其父亲郑晓生抽烟留下的打火机玩火，引燃一楼楼梯口南侧堆放的海绵内衣罩杯半成品堆垛所致。间接原因：1.郑晓生内衣作坊存在严重消防安全隐患，包括擅自改变建筑用途和性质、安全条件差、疏散通道堆放大量易燃物品、经营者消防安全意识淡薄。2.工商部门查处无照经营行为不力。3.供电部门履行用电检查职责不到位，未能发现并纠正非法转供工业用电。4.劳动部门履行劳动用工检查职责不到位，对非法用工失察。5.公安消防部门和派出所督促、指导村委会履行消防安全职责不力。6.安全生产监管部门督促协调不力。7.莲坛村委会及沙堆村贯彻执行上级政府和有关部门关于消防安全隐患整治的工作部署不力。8.军埠镇政府落实消防安全责任制和监督管理不到位，对违规建筑缺乏监管、排查整治不力、监督检查指导不力，且个别干部涉嫌滥用职权。9.普宁市政府落实消防安全责任制不到位，对相关部门监管不力、执法不严等问题失察。,2
2019年胪厦村“11·29”火灾事故调查报告,1,2,0,胪厦工业区5-3号简易搭盖彩钢板房二层西侧第一间西侧区域电气线路故障引燃泡沫夹心彩钢板是造成本起火灾事故的直接原因。胪厦村村委会、城门镇政府对“两违”清理整治工作及建筑工程安全隐患大排查大整治工作不落实、对违法建设行为查处不力，对发生火灾房屋日常监管缺失，履职不到位；城门镇国土所未对辖区违法建设行为进行巡查；仓山区“两违”办、整治办对城门镇、胪厦村“两违”整治和建筑工程大排查大整治工作督促、指导不到位是造成本起火灾事故的间接原因。,0
2022·12·1”较大火灾延伸调查报告,5,3,0,直接原因为小孩在6号楼1层东侧门厅使用打火机点燃纸张，引燃该门厅西北角放置的杂物起火。成灾原因包括：6号楼1层公共区域墙面装饰板为可燃材料，导致火势快速蔓延并产生大量高温有毒烟气；疏散楼梯间及消防电梯合用前室未安装防火门，防火防烟分区被破坏，火灾烟气扩散；机械防烟系统未启动，浓烟大量涌入疏散楼梯间；小区消防控制室无人值守，消防控制柜故障，感烟探测器防尘罩未摘除，导致火情未能第一时间发现并有效处置；物业单位未及时清理公共区域堆放的可燃物，存在电动自行车进楼入户现象，初期火灾扑救不力；小区占用消防车登高操作场地，影响疏散救援；部分居民冒险离家或开门逃生不当，导致吸入有毒烟气造成伤亡或被困。,1
“10?15”一般火灾事故调查处理情况,0,0,675.0509,直接原因是强慧公司员工郭洁在C8栋27档中使用电饭煲煮食，该档口营业大厅中部靠东侧位置电源线路短路产生的高温熔珠引燃附近的可燃物所致。间接原因包括：强慧公司消防安全主体责任不落实，存在线路乱拉乱接、电线附近堆放可燃物、未规范安装漏电保护、未重视电饭煲煮食隐患等问题；好又快公司消防安全责任不落实，消防安全管理混乱，日常消防安全检查不彻底，未能及时消除用电隐患及消防设施不完善；八方物流公司出租场所消防安全管理责任不落实，未能对承租单位的消防安全工作统一协调、管理，未能及时发现并制止承租方存在的消防安全隐患；相关监管单位（滘心村经济联社及各经济社）未有效落实消防安全监管责任，对所辖范围的消防隐患未能进行有效巡查、发现、报告和处理，排查力度不够。,0
“11.10”水木兰亭住宅较大火灾事故调查报告,3,0,0,直接原因：死者家中西北侧儿童房内高低床一层西北角放置的扫地机器人电气故障引燃其周围被褥，床板等可燃物起火，蔓延至房间其他部位，因起火房间较小且窗户锁闭，空气流通不畅，屋内物品燃烧不充分，产生大量有毒烟气，导致人员在逃生过程中死亡。间接原因：1.儿童房内起火点处的电器残骸与户主家的扫地机器人一致，除此之外无其他电器残骸，该款扫地机器人为男户主胡某3月份购买智能门锁的赠品，无商标、合格证、生产厂家名称，存在较大安全隐患。2.起火建筑内门窗紧闭，通风不畅，火灾发生后产生的大量有毒烟气，通过房间顶部迅速向其他房间扩散，造成被困人员逃生自救困难。3.起火建筑人员消防安全意识不强，对电气火灾的危害性认识不足，周围邻居在发现火灾后也未在第一时间报警。4.起火时间在凌晨，起火部位在儿童房，经调查，火灾当晚无人居住，死者难以第一时间发现火灾，导致火灾发现较迟，延误了最佳的逃生时机。5.消防安全检查不到位，住户所在的小区物业企业开展小区消防安全的检查不经常，不彻底，物业企业员工培训不到位，难以发现火灾隐患，检查发现小区单元楼内的室内消火栓箱上锁无法使用，值班室内的火灾报警系统主机存在故障点。6.消防安全宣传不到位。宁安镇政府、红苑社区日常消防宣传教育工作开展不实不细，群众对消防安全风险辨识能力不强，自我防范意识差，缺乏必要的火灾自救逃生技能。,1
“11·1”里水森林火灾调查报告,0,0,0,起火原因是人为用火引发的，系罗明金、陶永良等人在山上诱捕黄蜂时吸烟所致。同时，里水镇政府、佛山市自然资源局南海分局里水管理所及里水镇石塘村等相关职能部门及管理人员在森林防灭火工作中存在履职不到位的问题，包括林长制工作落实不细致、对护林员队伍日常管理不足、未压实日常检查巡查及基础设施管养维护工作责任、未认真安排落实包山头巡查等，是造成火灾蔓延和未能及时发现制止的间接原因。,0
“11?22”七星关区市东街道火灾事故调查报告 (2),1,0,25,起火原因为木结构房屋卧室电气线路故障引燃周围可燃物导致。灾害成因包括房屋内堆放大量可燃易燃物品火灾荷载大；房屋内电气线路私拉乱接，使用时间长未定期检查更换；自建房排查整治不到位；火灾发生后周围人员未能第一时间报警处置，造成火势蔓延扩大。,0
“11?22”七星关区市东街道火灾事故调查报告,1,0,25,起火原因为木结构房屋卧室电气线路故障引燃周围可燃物导致。灾害成因包括：房屋内堆放大量可燃易燃物品火灾荷载大；房屋内电气线路私拉乱接，使用时间长未定期检查更换；自建房排查整治不到位；火灾发生后周围人员未能第一时间报警处置，造成火势蔓延扩大。,0
“12.09”潮安区彩塘镇合泉五金厂宿舍火灾事故调查报告,2,0,60.76,直接原因：刘某浩、刘某慧在合泉五金厂宿舍四楼420房间玩火，引燃周边可燃物蔓延成灾。间接原因：1.合泉五金厂安全生产主体责任落实不到位，安全管理不到位，未落实各项消防安全制度，未建立健全安全生产责任制和安全生产规章制度，未开展员工消防安全教育，从业人员消防安全意识淡薄；将仓库和员工宿舍设置在同一幢建筑物内，未严格按技术规范设置完全防火分隔，配备消防设施，仓库和宿舍没有专人管理，杂乱无章。2.彩塘镇人民政府落实消防工作职责不到位，未能认真贯彻执行上级关于消防安全工作要求，对“三小”场所、“三合一”场所排查整治不深入，对部分消防安全隐患未能及时发现和落实整改；消防宣传教育工作不到位。3.彩塘派出所履行消防安全职责不到位，消防安全宣传教育、普及消防安全知识工作不深入、不全面；在督促村民委员会履行消防安全职责工作上不到位。4.宏安二村民委员会履行消防安全职责不到位，在开展群众性消防工作，宣传消防法律、法规，普及消防安全知识，健全消防安全制度等工作存在不足，导致辖区内生产经营者、居民消防安全意识和自我保护意识淡薄；开展防火安全检查不全面，仍留有死角，对合泉五金厂宿舍楼存在的消防安全问题未能及时发现，及时整治。,0
“12·23”火灾事故,1,0,8.5,起火原因为李龙前卧室煤火炉用火不慎引燃周边可燃物导致火灾。事故成因包括：群众防火意识低，起火建筑内易燃可燃物多，生活用火安全防范意识差，煤火炉与周边可燃物未保持安全距离，老年人自我防范能力不足且火灾死亡人员在醉酒状态下将火炉置于床铺旁睡觉；群防群治基础差，水东镇消防工作站和老包村日常消防安全排查、隐患分析、重点人员监管及宣传提示工作不深不细、流于形式，存在弄虚作假；以及落实管理责任差，消防工作站负责人、驻村干部及村包组干部未有效落实消防安全职责。,0
